"country","obesity"
"American Samoa",74.6
"Nauru",71.1
"Cook Islands",63.7
"Tokelau",63.4
"Tonga",57.6
"Samoa",54.1
"Palau",48.9
"Kiribati",46
"Marshall Islands",45.4
"Kuwait",42
"Saint Kitts and Nevis",40.7
"Micronesia, Federated States of",40.6
"Bahamas, The",34.7
"Barbados",34.7
"Belize",33.7
"Qatar",33.2
"Egypt",33.1
"United States",33
"Saudi Arabia",33
"Bahrain",32.9
"Czech Republic",32.7
"United Arab Emirates",32.7
"Mexico",32.1
"South Africa",31.3
"Fiji",30.6
"Venezuela",30.3
"Solomon Islands",30
"Jordan",30
"Argentina",29.7
"Chile",29.4
"Trinidad and Tobago",29.3
"Malta",28.8
"Slovenia",28.6
"New Zealand",28.3
"Libya",27.8
"Turkey",27.8
"Hungary",27.6
"Lithuania",27.6
"Vanuatu",27.5
"Lebanon",27.4
"Syria",27.1
"Iraq",27
"United Kingdom",26.9
"Australia",26.8
"Spain",26.6
"Russia",26.5
"Bosnia and Herzegovina",26.5
"Canada",26.2
"Israel",26.2
"Luxembourg",26
"El Salvador",25.8
"Antigua and Barbuda",25.6
"Cyprus",25.5
"Slovakia",25.4
"Panama",25.4
"Poland",25.3
"Ireland",25.2
"Andorra",25.2
"Germany",25.1
"Suriname",25.1
"Dominica",24.9
"Latvia",24.9
"Serbia",24.8
"Uruguay",24.8
"Belarus",24.3
"Croatia",24.2
"Jamaica",24.1
"Armenia",24
"Portugal",24
"Seychelles",23.9
"Azerbaijan",23.8
"Bulgaria",23.7
"Costa Rica",23.7
"Kazakhstan",23.7
"Saint Vincent and the Grenadines",23.4
"Iceland",23.2
"Finland",23
"Grenada",22.5
"Montenegro",22.5
"Tunisia",22.3
"Nicaragua",22.2
"Georgia",22.1
"Belgium",22.1
"Norway",21.5
"Cuba",21.5
"Ecuador",21.4
"Saint Lucia",21.4
"Albania",21.3
"Ukraine",21.3
"Dominican Republic",21.2
"Moldova",21.2
"Macedonia",21.1
"Austria",20.9
"Oman",20.9
"Estonia",20.6
"Greece",20.1
"Italy",19.8
"Swaziland",19.7
"Iran",19.4
"Guatemala",19.2
"Romania",19.1
"Brazil",18.8
"Netherlands",18.8
"Sweden",18.6
"Mauritius",18.5
"Honduras",18.4
"Denmark",18.2
"France",18.2
"Bolivia",17.9
"Paraguay",17.9
"Switzerland",17.5
"Colombia",17.3
"Guyana",17.2
"Morocco",16.4
"Papua New Guinea",16.2
"Algeria",16
"Peru",15.7
"Kyrgyzstan",15.5
"Uzbekistan",15.1
"Lesotho",14.6
"Yemen",14.5
"Mongolia",14.4
"Malaysia",14
"Gabon",13.9
"Turkmenistan",13.2
"Maldives",12.9
"Mauritania",12.7
"Botswana",11.2
"Equatorial Guinea",10.6
"Cameroon",10.3
"Cabo Verde",10
"Sao Tome and Principe",9.5
"Namibia",9.5
"Djibouti",9.4
"Thailand",8.8
"Tajikistan",8.6
"Haiti",7.9
"Gambia, The",7.9
"Korea, South",7.7
"Ghana",7.5
"Brunei",7.5
"Singapore",7.1
"Zimbabwe",7
"Sierra Leone",6.8
"Senegal",6.8
"Nigeria",6.5
"Angola",6.4
"Philippines",6.3
"Cote d'Ivoire",6.2
"Sudan",6
"Benin",6
"China",5.7
"Pakistan",5.5
"Bhutan",5.3
"Sri Lanka",5.1
"Tanzania",5
"Japan",5
"Mozambique",4.9
"Guinea-Bissau",4.9
"Indonesia",4.8
"Liberia",4.8
"Somalia",4.8
"Congo, Republic of the",4.7
"Comoros",4.4
"Guinea",4.4
"Mali",4.3
"Uganda",4.3
"Malawi",4.3
"Togo",4.3
"Rwanda",4.3
"Kenya",4.2
"Burma",4
"Korea, North",3.9
"Zambia",3.6
"Central African Republic",3.5
"Burundi",2.9
"Chad",2.7
"Timor-Leste",2.7
"Laos",2.6
"Niger",2.4
"Burkina Faso",2.3
"Afghanistan",2.2
"Cambodia",2.1
"India",1.9
"Congo, Democratic Republic of the",1.7
"Vietnam",1.7
"Madagascar",1.6
"Eritrea",1.5
"Nepal",1.4
"Bangladesh",1.1
"Ethiopia",1.1
