"country","roadways"
"United States",6586610
"India",4689842
"China",4106387
"Brazil",1580964
"Russia",1283387
"Japan",1210251
"Canada",1042300
"France",1028446
"Australia",823217
"Spain",683175
"Germany",645000
"Sweden",579564
"Indonesia",496607
"Italy",487700
"Poland",412035
"United Kingdom",394428
"Turkey",385748
"Mexico",377660
"South Africa",364131
"Pakistan",262256
"Argentina",231374
"Saudi Arabia",221372
"Philippines",213151
"Vietnam",206633
"Hungary",199567
"Iran",198866
"Nigeria",193200
"Thailand",180053
"Ukraine",169694
"Kenya",160878
"Belgium",154012
"Congo, Democratic Republic of the",153497
"Malaysia",144403
"Colombia",141374
"Peru",140672
"Netherlands",139295
"Egypt",137430
"Czech Republic",130671
"Austria",124508
"Greece",116960
"Sri Lanka",114093
"Algeria",113655
"Ghana",109515
"Korea, South",104983
"Libya",100024
"Kazakhstan",97418
"Zimbabwe",97267
"Venezuela",96155
"Ireland",96036
"New Zealand",94160
"Norway",93870
"Uzbekistan",86496
"Tanzania",86472
"Belarus",86392
"Romania",84185
"Lithuania",84166
"Portugal",82900
"Cote d'Ivoire",81996
"Bolivia",80488
"Finland",78000
"Chile",77764
"Uruguay",77732
"Denmark",73929
"Latvia",72440
"Switzerland",71464
"Yemen",71300
"Syria",69873
"Zambia",67671
"Cuba",60858
"Oman",60240
"Iraq",59623
"Turkmenistan",58592
"Estonia",58412
"Morocco",58395
"Azerbaijan",52942
"Angola",51429
"Cameroon",51350
"Mongolia",49249
"Ethiopia",44359
"Guinea",44348
"Serbia",44248
"Namibia",44138
"Slovakia",43916
"Ecuador",43670
"Afghanistan",42150
"Taiwan",41475
"Chad",40000
"Cambodia",39618
"Laos",39568
"Costa Rica",39018
"Slovenia",38985
"Madagascar",34476
"Burma",34377
"Kyrgyzstan",34000
"Paraguay",32059
"Mozambique",30331
"Croatia",29410
"Tajikistan",27767
"Puerto Rico",26862
"Korea, North",25554
"Nicaragua",23897
"Bosnia and Herzegovina",22926
"Mali",22474
"Jamaica",22121
"Somalia",22100
"Bangladesh",21269
"Central African Republic",20278
"Cyprus",20006
"Uganda",20000
"Dominican Republic",19705
"Bulgaria",19512
"Tunisia",19418
"Georgia",19109
"Niger",18949
"Israel",18566
"Albania",18000
"Botswana",17916
"Congo, Republic of the",17289
"Benin",16000
"Malawi",15450
"Burkina Faso",15272
"Panama",15137
"Honduras",14742
"Macedonia",14038
"Senegal",14008
"Iceland",12890
"Burundi",12322
"Sudan",11900
"Togo",11652
"Guatemala",11501
"Sierra Leone",11300
"Nepal",10844
"Mauritania",10628
"Liberia",10600
"Qatar",9830
"Moldova",9352
"Papua New Guinea",9349
"Gabon",9170
"Trinidad and Tobago",8320
"Bhutan",8050
"Guyana",7970
"Montenegro",7763
"Armenia",7705
"Jordan",7203
"Lebanon",6970
"Kosovo",6955
"El Salvador",6918
"Kuwait",6608
"Timor-Leste",6040
"Lesotho",5940
"New Caledonia",5622
"Rwanda",4700
"West Bank",4686
"Suriname",4304
"Haiti",4266
"Bahrain",4122
"United Arab Emirates",4080
"Eritrea",4010
"Gambia, The",3740
"Swaziland",3594
"Guinea-Bissau",3455
"Fiji",3440
"Singapore",3425
"Malta",3096
"Djibouti",3065
"Brunei",3029
"Luxembourg",2899
"Equatorial Guinea",2880
"Belize",2870
"Bahamas, The",2700
"French Polynesia",2590
"Samoa",2337
"Mauritius",2149
"Hong Kong",2090
"Marshall Islands",2028
"Barbados",1600
"Dominica",1512
"Solomon Islands",1390
"Cabo Verde",1350
"Virgin Islands",1260
"Saint Lucia",1210
"Antigua and Barbuda",1170
"Grenada",1127
"Vanuatu",1070
"Guam",1045
"Comoros",880
"Saint Vincent and the Grenadines",829
"Cayman Islands",785
"Tonga",680
"Kiribati",670
"Jersey",576
"Curacao",550
"Northern Mariana Islands",536
"Seychelles",508
"Isle of Man",500
"Faroe Islands",463
"Bermuda",447
"Falkland Islands (Islas Malvinas)",440
"Macau",413
"Saint Kitts and Nevis",383
"Liechtenstein",380
"Sao Tome and Principe",320
"Andorra",320
"Cook Islands",320
"San Marino",292
"American Samoa",241
"Micronesia, Federated States of",240
"British Virgin Islands",200
"Saint Helena, Ascension, and Tristan da Cunha",198
"Anguilla",175
"Christmas Island",140
"Turks and Caicos Islands",121
"Niue",120
"Saint Pierre and Miquelon",117
"Maldives",88
"Norfolk Island",80
"Monaco",77
"Sint Maarten",53
"Nauru",30
"Gibraltar",29
"Cocos (Keeling) Islands",22
"Tuvalu",8
